Índice FipeZAP,Data,Total
0,2008-01-01,41.81
1,2008-02-01,42.07
2,2008-03-01,42.51
3,2008-04-01,43.09
4,2008-05-01,43.67
5,2008-06-01,44.31
6,2008-07-01,44.91
7,2008-08-01,45.38
8,2008-09-01,45.84
9,2008-10-01,46.37
10,2008-11-01,47.11
11,2008-12-01,47.94
12,2009-01-01,48.6
13,2009-02-01,49.25
14,2009-03-01,49.8
15,2009-04-01,50.54
16,2009-05-01,51.28
17,2009-06-01,52.09
18,2009-07-01,53.01
19,2009-08-01,53.98
20,2009-09-01,54.91
21,2009-10-01,55.84
22,2009-11-01,56.96
23,2009-12-01,58.08
24,2010-01-01,59.06
25,2010-02-01,59.99
26,2010-03-01,61.02
27,2010-04-01,62.12
28,2010-05-01,63.23
29,2010-06-01,64.59
30,2010-07-01,66.11
31,2010-08-01,67.62
32,2010-09-01,69.03
33,2010-10-01,70.45
34,2010-11-01,72.15
35,2010-12-01,73.68
36,2011-01-01,74.99
37,2011-02-01,76.54
38,2011-03-01,78.38
39,2011-04-01,80.48
40,2011-05-01,82.54
41,2011-06-01,84.46
42,2011-07-01,86.22
43,2011-08-01,87.72
44,2011-09-01,89.35
45,2011-10-01,90.76
46,2011-11-01,92.06
47,2011-12-01,93.07
48,2012-01-01,94.13
49,2012-02-01,95.5
50,2012-03-01,96.83
51,2012-04-01,98.04
52,2012-05-01,98.96
53,2012-06-01,100.0
54,2012-07-01,100.73
55,2012-08-01,101.67
56,2012-09-01,102.47
57,2012-10-01,103.19
58,2012-11-01,104.14
59,2012-12-01,105.19
60,2013-01-01,106.19
61,2013-02-01,107.17
62,2013-03-01,108.09
63,2013-04-01,109.25
64,2013-05-01,110.35
65,2013-06-01,111.61
66,2013-07-01,112.82
67,2013-08-01,114.15
68,2013-09-01,115.52
69,2013-10-01,117.04
70,2013-11-01,118.51
71,2013-12-01,119.64
72,2014-01-01,120.57
73,2014-02-01,121.25
74,2014-03-01,122.02
75,2014-04-01,122.62
76,2014-05-01,123.21
77,2014-06-01,123.83
78,2014-07-01,124.57
79,2014-08-01,125.41
80,2014-09-01,126.11
81,2014-10-01,126.68
82,2014-11-01,127.24
83,2014-12-01,127.66
84,2015-01-01,128.16
85,2015-02-01,128.37
86,2015-03-01,128.54
87,2015-04-01,129.05
88,2015-05-01,129.26
89,2015-06-01,129.43
90,2015-07-01,129.59
91,2015-08-01,129.58
92,2015-09-01,129.42
93,2015-10-01,129.41
94,2015-11-01,129.35
95,2015-12-01,129.36
96,2016-01-01,129.25
97,2016-02-01,129.19
98,2016-03-01,129.22
99,2016-04-01,129.32
100,2016-05-01,129.4
101,2016-06-01,129.4
102,2016-07-01,129.48
103,2016-08-01,129.54
104,2016-09-01,129.7
105,2016-10-01,129.84
106,2016-11-01,129.93
107,2016-12-01,130.1
108,2017-01-01,130.09
109,2017-02-01,130.27
110,2017-03-01,130.22
111,2017-04-01,130.21
112,2017-05-01,130.0
113,2017-06-01,129.8
114,2017-07-01,129.61
115,2017-08-01,129.45
116,2017-09-01,129.36
117,2017-10-01,129.37
118,2017-11-01,129.4
119,2017-12-01,129.41
120,2018-01-01,129.39
121,2018-02-01,129.33
122,2018-03-01,129.3
123,2018-04-01,129.29
124,2018-05-01,129.28
125,2018-06-01,129.2
126,2018-07-01,129.11
127,2018-08-01,129.03
128,2018-09-01,129.0
129,2018-10-01,128.92
130,2018-11-01,128.99
131,2018-12-01,129.14
132,2019-01-01,129.31
133,2019-02-01,129.41
134,2019-03-01,129.44
135,2019-04-01,129.63
136,2019-05-01,129.55
137,2019-06-01,129.52
138,2019-07-01,129.47
139,2019-08-01,129.55
140,2019-09-01,129.36
141,2019-10-01,129.17
142,2019-11-01,129.17
143,2019-12-01,129.14
144,2020-01-01,129.34
145,2020-02-01,129.54
146,2020-03-01,129.77
147,2020-04-01,130.03
148,2020-05-01,130.33
149,2020-06-01,130.57
150,2020-07-01,130.94
151,2020-08-01,131.42
152,2020-09-01,132.12
153,2020-10-01,132.67
154,2020-11-01,133.27
155,2020-12-01,133.88
156,2021-01-01,134.35
157,2021-02-01,134.71
158,2021-03-01,134.95
159,2021-04-01,135.36
160,2021-05-01,136.01
161,2021-06-01,136.79
162,2021-07-01,137.66
163,2021-08-01,138.35
164,2021-09-01,138.95
165,2021-10-01,139.54
166,2021-11-01,140.28
167,2021-12-01,140.96
168,2022-01-01,141.7
169,2022-02-01,142.4
170,2022-03-01,143.18
171,2022-04-01,143.87
172,2022-05-01,144.46
173,2022-06-01,145.13
174,2022-07-01,145.88
175,2022-08-01,146.75
176,2022-09-01,147.63
177,2022-10-01,148.5
178,2022-11-01,149.18
179,2022-12-01,149.64
180,2023-01-01,150.08
181,2023-02-01,150.65
182,2023-03-01,151.29
183,2023-04-01,151.96
184,2023-05-01,152.65
185,2023-06-01,153.44
186,2023-07-01,154.07
187,2023-08-01,154.74
188,2023-09-01,155.44
189,2023-10-01,156.27
190,2023-11-01,156.85
191,2023-12-01,157.31
192,2024-01-01,157.87
193,2024-02-01,158.65
